财务部考核方案-岗位名称,财务部考核方案-姓名,财务部考核方案-基本工资,财务部考核方案-考核项目,财务部考核方案-考核项目.1,财务部考核方案-考核项目.2,财务部考核方案-考核项目.3,财务部考核方案-考核项目.4,财务部考核方案-考核标准,财务部考核方案-考核标准.1,财务部考核方案-考核标准.2,财务部考核方案-权重,提成办法
财务经理,,1100元,负责银行贷款资料、贷款卡年检资料、工商年检资料的准备,负责银行贷款资料、贷款卡年检资料、工商年检资料的准备,负责银行贷款资料、贷款卡年检资料、工商年检资料的准备,负责银行贷款资料、贷款卡年检资料、工商年检资料的准备,负责银行贷款资料、贷款卡年检资料、工商年检资料的准备,1、根据借款需要及时准备银行贷款资料、委贷资料,1、根据借款需要及时准备银行贷款资料、委贷资料,1、根据借款需要及时准备银行贷款资料、委贷资料,2%,绩效工资1000元
财务经理,,1100元,负责银行贷款资料、贷款卡年检资料、工商年检资料的准备,负责银行贷款资料、贷款卡年检资料、工商年检资料的准备,负责银行贷款资料、贷款卡年检资料、工商年检资料的准备,负责银行贷款资料、贷款卡年检资料、工商年检资料的准备,负责银行贷款资料、贷款卡年检资料、工商年检资料的准备,2、按照工商年检时限规定及时准备财务年检资料,2、按照工商年检时限规定及时准备财务年检资料,2、按照工商年检时限规定及时准备财务年检资料,2%,绩效工资1000元
财务经理,,1100元,负责银行贷款资料、贷款卡年检资料、工商年检资料的准备,负责银行贷款资料、贷款卡年检资料、工商年检资料的准备,负责银行贷款资料、贷款卡年检资料、工商年检资料的准备,负责银行贷款资料、贷款卡年检资料、工商年检资料的准备,负责银行贷款资料、贷款卡年检资料、工商年检资料的准备,3、按照人行贷款卡年检时限规定及时准备贷款卡年检资料,3、按照人行贷款卡年检时限规定及时准备贷款卡年检资料,3、按照人行贷款卡年检时限规定及时准备贷款卡年检资料,1%,绩效工资1000元
财务经理,,1100元,负责东风日产往来明细帐的对帐,负责东风日产往来明细帐的对帐,负责东风日产往来明细帐的对帐,负责东风日产往来明细帐的对帐,负责东风日产往来明细帐的对帐,1、每月和东风日产核对整车、备件往来明细帐，列出差异明细,1、每月和东风日产核对整车、备件往来明细帐，列出差异明细,1、每月和东风日产核对整车、备件往来明细帐，列出差异明细,5%,绩效工资1000元
财务经理,,1100元,负责东风日产往来明细帐的对帐,负责东风日产往来明细帐的对帐,负责东风日产往来明细帐的对帐,负责东风日产往来明细帐的对帐,负责东风日产往来明细帐的对帐,2、年底及时和东风日产对帐并向东风日产报送往来对帐差异明细表,2、年底及时和东风日产对帐并向东风日产报送往来对帐差异明细表,2、年底及时和东风日产对帐并向东风日产报送往来对帐差异明细表,5%,绩效工资1000元
财务经理,,1100元,负责对财务人员进行必要的财务知识、岗位知识培训,负责对财务人员进行必要的财务知识、岗位知识培训,负责对财务人员进行必要的财务知识、岗位知识培训,负责对财务人员进行必要的财务知识、岗位知识培训,负责对财务人员进行必要的财务知识、岗位知识培训,1、对各岗位财务人员进行岗位知识、专业知识培训,1、对各岗位财务人员进行岗位知识、专业知识培训,1、对各岗位财务人员进行岗位知识、专业知识培训,10%,绩效工资1000元
财务经理,,1100元,负责银行、税务等外围关系的协调,负责银行、税务等外围关系的协调,负责银行、税务等外围关系的协调,负责银行、税务等外围关系的协调,负责银行、税务等外围关系的协调,1、协调和各银行的关系以获得银行的信贷资金、日常业务支持,1、协调和各银行的关系以获得银行的信贷资金、日常业务支持,1、协调和各银行的关系以获得银行的信贷资金、日常业务支持,5%,绩效工资1000元
财务经理,,1100元,负责银行、税务等外围关系的协调,负责银行、税务等外围关系的协调,负责银行、税务等外围关系的协调,负责银行、税务等外围关系的协调,负责银行、税务等外围关系的协调,2、协调和税务的关系以保障公司的正常业务开展,2、协调和税务的关系以保障公司的正常业务开展,2、协调和税务的关系以保障公司的正常业务开展,5%,绩效工资1000元
财务经理,,1100元,负责企业抄报税资料的检查审核，监督检查财务各方面工作的执行,负责企业抄报税资料的检查审核，监督检查财务各方面工作的执行,负责企业抄报税资料的检查审核，监督检查财务各方面工作的执行,负责企业抄报税资料的检查审核，监督检查财务各方面工作的执行,负责企业抄报税资料的检查审核，监督检查财务各方面工作的执行,1、审核每月抄报税资料，保证报税资料的准确性,1、审核每月抄报税资料，保证报税资料的准确性,1、审核每月抄报税资料，保证报税资料的准确性,5%,绩效工资1000元
财务经理,,1100元,负责企业抄报税资料的检查审核，监督检查财务各方面工作的执行,负责企业抄报税资料的检查审核，监督检查财务各方面工作的执行,负责企业抄报税资料的检查审核，监督检查财务各方面工作的执行,负责企业抄报税资料的检查审核，监督检查财务各方面工作的执行,负责企业抄报税资料的检查审核，监督检查财务各方面工作的执行,2、检查、督促财务各方面工作的执行,2、检查、督促财务各方面工作的执行,2、检查、督促财务各方面工作的执行,5%,绩效工资1000元
财务经理,,1100元,负责制定本部门每月工作计划，并做出工作总结,负责制定本部门每月工作计划，并做出工作总结,负责制定本部门每月工作计划，并做出工作总结,负责制定本部门每月工作计划，并做出工作总结,负责制定本部门每月工作计划，并做出工作总结,1、每月26日前制定下月工作计划, 1、每月26日前制定下月工作计划 , 1、每月26日前制定下月工作计划 ,5%,绩效工资1000元
财务经理,,1100元,负责制定本部门每月工作计划，并做出工作总结,负责制定本部门每月工作计划，并做出工作总结,负责制定本部门每月工作计划，并做出工作总结,负责制定本部门每月工作计划，并做出工作总结,负责制定本部门每月工作计划，并做出工作总结,2、月底及时做出工作总结,2、月底及时做出工作总结,2、月底及时做出工作总结,5%,绩效工资1000元
财务经理,,1100元,负责复核每月工资提成情况,负责复核每月工资提成情况,负责复核每月工资提成情况,负责复核每月工资提成情况,负责复核每月工资提成情况,1、对各项指标完成情况统计表进行复核,1、对各项指标完成情况统计表进行复核,1、对各项指标完成情况统计表进行复核,5%,绩效工资1000元
财务经理,,1100元,负责复核每月工资提成情况,负责复核每月工资提成情况,负责复核每月工资提成情况,负责复核每月工资提成情况,负责复核每月工资提成情况,2、对人力资源部提供工资提成情况进行复核,2、对人力资源部提供工资提成情况进行复核,2、对人力资源部提供工资提成情况进行复核,5%,绩效工资1000元
会计,,700元,负责公司日常费用支票结算,负责公司日常费用支票结算,负责公司日常费用支票结算,负责公司日常费用支票结算,负责公司日常费用支票结算,1、有总经理和财务总监签字方能签发支票,1、有总经理和财务总监签字方能签发支票,1、有总经理和财务总监签字方能签发支票,5%,绩效工资600元
会计,,700元,负责公司日常费用支票结算,负责公司日常费用支票结算,负责公司日常费用支票结算,负责公司日常费用支票结算,负责公司日常费用支票结算,2、建立签发支票登记簿并认真登记支票签发、领用情况,2、建立签发支票登记簿并认真登记支票签发、领用情况,2、建立签发支票登记簿并认真登记支票签发、领用情况,3%,绩效工资600元
会计,,700元,负责公司日常费用支票结算,负责公司日常费用支票结算,负责公司日常费用支票结算,负责公司日常费用支票结算,负责公司日常费用支票结算,3、妥善保管空白支票、汇票等空白票据,3、妥善保管空白支票、汇票等空白票据,3、妥善保管空白支票、汇票等空白票据,5%,绩效工资600元
会计,,700元,负责公司日常费用支票结算,负责公司日常费用支票结算,负责公司日常费用支票结算,负责公司日常费用支票结算,负责公司日常费用支票结算,"4、妥善保管财务专用章和法人章,并建立备查帐簿","4、妥善保管财务专用章和法人章,并建立备查帐簿","4、妥善保管财务专用章和法人章,并建立备查帐簿",10%,绩效工资600元
会计,,700元,负责公司日常费用支票结算,负责公司日常费用支票结算,负责公司日常费用支票结算,负责公司日常费用支票结算,负责公司日常费用支票结算,5、不得签发空头支票、空白支票、远期支票,5、不得签发空头支票、空白支票、远期支票,5、不得签发空头支票、空白支票、远期支票,2%,绩效工资600元
会计,,700元,负责公司日常费用支票结算,负责公司日常费用支票结算,负责公司日常费用支票结算,负责公司日常费用支票结算,负责公司日常费用支票结算,6、遵守公司各项规章制度，不迟到、早退、擅自离岗,6、遵守公司各项规章制度，不迟到、早退、擅自离岗,6、遵守公司各项规章制度，不迟到、早退、擅自离岗,5%,绩效工资600元
会计,,700元,负责到银行办理存取款,负责到银行办理存取款,负责到银行办理存取款,负责到银行办理存取款,负责到银行办理存取款,1、每天将所收维修款、整车款及时送存银行,1、每天将所收维修款、整车款及时送存银行,1、每天将所收维修款、整车款及时送存银行,5%,绩效工资600元
会计,,700元,负责到银行办理存取款,负责到银行办理存取款,负责到银行办理存取款,负责到银行办理存取款,负责到银行办理存取款,2、每月初及时办理试驾车贷款还款手续,2、每月初及时办理试驾车贷款还款手续,2、每月初及时办理试驾车贷款还款手续,5%,绩效工资600元
会计,,700元,负责到银行办理存取款,负责到银行办理存取款,负责到银行办理存取款,负责到银行办理存取款,负责到银行办理存取款,3、每月20日之前及时交存银行贷款结息,3、每月20日之前及时交存银行贷款结息,3、每月20日之前及时交存银行贷款结息,5%,绩效工资600元
会计,,700元,负责办理银行代发工资手续,负责办理银行代发工资手续,负责办理银行代发工资手续,负责办理银行代发工资手续,负责办理银行代发工资手续,1、认真核对工资表代发、代扣项目并准确办理工资发放,1、认真核对工资表代发、代扣项目并准确办理工资发放,1、认真核对工资表代发、代扣项目并准确办理工资发放,5%,绩效工资600元
会计,,700元,负责存取和保管整车合格证,负责存取和保管整车合格证,负责存取和保管整车合格证,负责存取和保管整车合格证,负责存取和保管整车合格证,1、认真做好合格证存取登记表并妥善保管合格证，保证无丢失,1、认真做好合格证存取登记表并妥善保管合格证，保证无丢失,1、认真做好合格证存取登记表并妥善保管合格证，保证无丢失,5%,绩效工资600元
会计,,700元,负责存取和保管整车合格证,负责存取和保管整车合格证,负责存取和保管整车合格证,负责存取和保管整车合格证,负责存取和保管整车合格证,2、每月底及时向厂家发送月底《银行保管合格证明细表》,2、每月底及时向厂家发送月底《银行保管合格证明细表》,2、每月底及时向厂家发送月底《银行保管合格证明细表》,5%,绩效工资600元
会计,,700元,负责银行对账、银行账户年检、贷款卡年检,负责银行对账、银行账户年检、贷款卡年检,负责银行对账、银行账户年检、贷款卡年检,负责银行对账、银行账户年检、贷款卡年检,负责银行对账、银行账户年检、贷款卡年检,1、每月10日前将上月银行帐核对清楚并填制《银行未达帐项调节表》发现未达帐项，要立即查明原因，进行处理，做好存款余额的调节工作,1、每月10日前将上月银行帐核对清楚并填制《银行未达帐项调节表》发现未达帐项，要立即查明原因，进行处理，做好存款余额的调节工作,1、每月10日前将上月银行帐核对清楚并填制《银行未达帐项调节表》发现未达帐项，要立即查明原因，进行处理，做好存款余额的调节工作,5%,绩效工资600元
会计,,700元,负责银行对账、银行账户年检、贷款卡年检,负责银行对账、银行账户年检、贷款卡年检,负责银行对账、银行账户年检、贷款卡年检,负责银行对账、银行账户年检、贷款卡年检,负责银行对账、银行账户年检、贷款卡年检,2、每年按照银行规定及时进行银行账户年检,2、每年按照银行规定及时进行银行账户年检,2、每年按照银行规定及时进行银行账户年检,3%,绩效工资600元
会计,,700元,负责银行对账、银行账户年检、贷款卡年检,负责银行对账、银行账户年检、贷款卡年检,负责银行对账、银行账户年检、贷款卡年检,负责银行对账、银行账户年检、贷款卡年检,负责银行对账、银行账户年检、贷款卡年检,3、每年按照银行规定期限及时进行贷款卡年检,3、每年按照银行规定期限及时进行贷款卡年检,3、每年按照银行规定期限及时进行贷款卡年检,2%,绩效工资600元
会计,,700元,负责整车盘点,负责整车盘点,负责整车盘点,负责整车盘点,负责整车盘点,1、做好与销售部、整车保管员的整车核对工作，保证商品车帐实相符，发现问题及时汇报,1、做好与销售部、整车保管员的整车核对工作，保证商品车帐实相符，发现问题及时汇报,1、做好与销售部、整车保管员的整车核对工作，保证商品车帐实相符，发现问题及时汇报,10%,绩效工资600元
会计,,700元,负责到税务局抄报税、抵扣联认证、买发票,负责到税务局抄报税、抵扣联认证、买发票,负责到税务局抄报税、抵扣联认证、买发票,负责到税务局抄报税、抵扣联认证、买发票,负责到税务局抄报税、抵扣联认证、买发票,1、每月10日前到国、地税抄、报税,1、每月10日前到国、地税抄、报税,1、每月10日前到国、地税抄、报税,10%,绩效工资600元
会计,,700元,负责到税务局抄报税、抵扣联认证、买发票,负责到税务局抄报税、抵扣联认证、买发票,负责到税务局抄报税、抵扣联认证、买发票,负责到税务局抄报税、抵扣联认证、买发票,负责到税务局抄报税、抵扣联认证、买发票,2、每月月底前及时进行抵扣联认证,2、每月月底前及时进行抵扣联认证,2、每月月底前及时进行抵扣联认证,5%,绩效工资600元
会计,,700元,负责到税务局抄报税、抵扣联认证、买发票,负责到税务局抄报税、抵扣联认证、买发票,负责到税务局抄报税、抵扣联认证、买发票,负责到税务局抄报税、抵扣联认证、买发票,负责到税务局抄报税、抵扣联认证、买发票,3、随时观察用票情况，及时到税务局购买普通发票和专用发票,3、随时观察用票情况，及时到税务局购买普通发票和专用发票,3、随时观察用票情况，及时到税务局购买普通发票和专用发票,5%,绩效工资600元
会计,,700元,负责整车明细帐管理,负责整车明细帐管理,负责整车明细帐管理,负责整车明细帐管理,负责整车明细帐管理,1、每月及时登记整车明细帐,1、每月及时登记整车明细帐,1、每月及时登记整车明细帐,5%,绩效工资600元
会计,,700元,负责整车明细帐管理,负责整车明细帐管理,负责整车明细帐管理,负责整车明细帐管理,负责整车明细帐管理,2、次月3日前将整车成本结转完毕,2、次月3日前将整车成本结转完毕,2、次月3日前将整车成本结转完毕,5%,绩效工资600元
会计,,700元,负责整车明细帐管理,负责整车明细帐管理,负责整车明细帐管理,负责整车明细帐管理,负责整车明细帐管理,3、月底结出整车帐面各车型库存并和实际盘存数相核对,3、月底结出整车帐面各车型库存并和实际盘存数相核对,3、月底结出整车帐面各车型库存并和实际盘存数相核对,10%,绩效工资600元
会计,,700元,负责整车明细帐管理,负责整车明细帐管理,负责整车明细帐管理,负责整车明细帐管理,负责整车明细帐管理,4、每月填制机动车发票抄报税清单,4、每月填制机动车发票抄报税清单,4、每月填制机动车发票抄报税清单,5%,绩效工资600元
会计,,700元,负责整车明细帐管理,负责整车明细帐管理,负责整车明细帐管理,负责整车明细帐管理,负责整车明细帐管理,5、负责及时向税务局提供机动车发票异常填开情况说明,5、负责及时向税务局提供机动车发票异常填开情况说明,5、负责及时向税务局提供机动车发票异常填开情况说明,5%,绩效工资600元
会计,,700元,负责日产DAIS系统凭证录入和报表填制,负责日产DAIS系统凭证录入和报表填制,负责日产DAIS系统凭证录入和报表填制,负责日产DAIS系统凭证录入和报表填制,负责日产DAIS系统凭证录入和报表填制,1、及时整理DMS系统维修信息,1、及时整理DMS系统维修信息,1、及时整理DMS系统维修信息,10%,绩效工资600元
会计,,700元,负责日产DAIS系统凭证录入和报表填制,负责日产DAIS系统凭证录入和报表填制,负责日产DAIS系统凭证录入和报表填制,负责日产DAIS系统凭证录入和报表填制,负责日产DAIS系统凭证录入和报表填制,2、根据整车销售情况和售后维修情况及时填制凭证,2、根据整车销售情况和售后维修情况及时填制凭证,2、根据整车销售情况和售后维修情况及时填制凭证,10%,绩效工资600元
会计,,700元,负责日产DAIS系统凭证录入和报表填制,负责日产DAIS系统凭证录入和报表填制,负责日产DAIS系统凭证录入和报表填制,负责日产DAIS系统凭证录入和报表填制,负责日产DAIS系统凭证录入和报表填制,3、13日以前将所有凭证填制完毕等待主管审核,3、13日以前将所有凭证填制完毕等待主管审核,3、13日以前将所有凭证填制完毕等待主管审核,10%,绩效工资600元
会计,,700元,负责日产DAIS系统凭证录入和报表填制,负责日产DAIS系统凭证录入和报表填制,负责日产DAIS系统凭证录入和报表填制,负责日产DAIS系统凭证录入和报表填制,负责日产DAIS系统凭证录入和报表填制,4、及时和销售部沟通系统交车情况,4、及时和销售部沟通系统交车情况,4、及时和销售部沟通系统交车情况,10%,绩效工资600元
会计,,700元,负责日产DAIS系统凭证录入和报表填制,负责日产DAIS系统凭证录入和报表填制,负责日产DAIS系统凭证录入和报表填制,负责日产DAIS系统凭证录入和报表填制,负责日产DAIS系统凭证录入和报表填制,5、根据DAIS系统情况填制制定格式日产报表,5、根据DAIS系统情况填制制定格式日产报表,5、根据DAIS系统情况填制制定格式日产报表,10,绩效工资600元
会计,,700元,负责固定资产明细帐管理,负责固定资产明细帐管理,负责固定资产明细帐管理,负责固定资产明细帐管理,负责固定资产明细帐管理,1、及时登记固定资产增减和折旧计提情况,1、及时登记固定资产增减和折旧计提情况,1、及时登记固定资产增减和折旧计提情况,20,绩效工资600元
备件会计,,700元,负责备件明细帐的管理,负责备件明细帐的管理,负责备件明细帐的管理,负责备件明细帐的管理,负责备件明细帐的管理,1、认真核对外购备件入库情况并及时填制外购入库凭证,1、认真核对外购备件入库情况并及时填制外购入库凭证,1、认真核对外购备件入库情况并及时填制外购入库凭证,10%,绩效工资600元
备件会计,,700元,负责备件明细帐的管理,负责备件明细帐的管理,负责备件明细帐的管理,负责备件明细帐的管理,负责备件明细帐的管理,2、核对日产备件入库情况并及时填制日产备件入库凭证,2、核对日产备件入库情况并及时填制日产备件入库凭证,2、核对日产备件入库情况并及时填制日产备件入库凭证,10%,绩效工资600元
备件会计,,700元,负责备件明细帐的管理,负责备件明细帐的管理,负责备件明细帐的管理,负责备件明细帐的管理,负责备件明细帐的管理,3、次月4日前将备件成本结转完毕,3、次月4日前将备件成本结转完毕,3、次月4日前将备件成本结转完毕,10%,绩效工资600元
备件会计,,700元,负责备件明细帐的管理,负责备件明细帐的管理,负责备件明细帐的管理,负责备件明细帐的管理,负责备件明细帐的管理,4、完善备件入出库单据管理，及时装订备件出入库凭证,4、完善备件入出库单据管理，及时装订备件出入库凭证,4、完善备件入出库单据管理，及时装订备件出入库凭证,10%,绩效工资600元
备件会计,,700元,负责和备件部对帐,负责和备件部对帐,负责和备件部对帐,负责和备件部对帐,负责和备件部对帐,1、结合收到发票和备件部核对日产备件、外购备件入库明细,1、结合收到发票和备件部核对日产备件、外购备件入库明细,1、结合收到发票和备件部核对日产备件、外购备件入库明细,10%,绩效工资600元
备件会计,,700元,负责和备件部对帐,负责和备件部对帐,负责和备件部对帐,负责和备件部对帐,负责和备件部对帐,2、月底及时结出备件帐面盘存数并和备件部盘点表核对,2、月底及时结出备件帐面盘存数并和备件部盘点表核对,2、月底及时结出备件帐面盘存数并和备件部盘点表核对,10%,绩效工资600元
备件会计,,700元,负责和备件部对帐,负责和备件部对帐,负责和备件部对帐,负责和备件部对帐,负责和备件部对帐,3、结出对帐差异并找出原因,3、结出对帐差异并找出原因,3、结出对帐差异并找出原因,10%,绩效工资600元
备件会计,,700元,负责盘查备件库存,负责盘查备件库存,负责盘查备件库存,负责盘查备件库存,负责盘查备件库存,1、要求备件部提供库存盘存表,1、要求备件部提供库存盘存表,1、要求备件部提供库存盘存表,10%,绩效工资600元
备件会计,,700元,负责盘查备件库存,负责盘查备件库存,负责盘查备件库存,负责盘查备件库存,负责盘查备件库存,2、定期盘查或不定期抽查备件结存情况,2、定期盘查或不定期抽查备件结存情况,2、定期盘查或不定期抽查备件结存情况,10%,绩效工资600元
备件会计,,700元,负责提供工资提成资料,负责提供工资提成资料,负责提供工资提成资料,负责提供工资提成资料,负责提供工资提成资料,1、每月15日前核对装具技师安装装具情况并报送, 1、每月15日前核对装具技师安装装具情况并报送 , 1、每月15日前核对装具技师安装装具情况并报送 ,10%,绩效工资600元
出纳,,600元,负责公司日常费用现金报销,负责公司日常费用现金报销,负责公司日常费用现金报销,负责公司日常费用现金报销,负责公司日常费用现金报销,1、每日进行现金库存盘点，账目日清月结,1、每日进行现金库存盘点，账目日清月结,1、每日进行现金库存盘点，账目日清月结,10%,绩效工资600元
出纳,,600元,负责公司日常费用现金报销,负责公司日常费用现金报销,负责公司日常费用现金报销,负责公司日常费用现金报销,负责公司日常费用现金报销,2、当日督促销售、维修款及时交存银行,2、当日督促销售、维修款及时交存银行,2、当日督促销售、维修款及时交存银行,10%,绩效工资600元
出纳,,600元,负责公司日常费用现金报销,负责公司日常费用现金报销,负责公司日常费用现金报销,负责公司日常费用现金报销,负责公司日常费用现金报销,3、没有总经理和财务总监签字不予借款、报销,3、没有总经理和财务总监签字不予借款、报销,3、没有总经理和财务总监签字不予借款、报销,10,绩效工资600元
出纳,,600元,负责公司日常费用现金报销,负责公司日常费用现金报销,负责公司日常费用现金报销,负责公司日常费用现金报销,负责公司日常费用现金报销,4、借款超过3天时限及时追问,4、借款超过3天时限及时追问,4、借款超过3天时限及时追问,5%,绩效工资600元
出纳,,600元,负责公司日常费用现金报销,负责公司日常费用现金报销,负责公司日常费用现金报销,负责公司日常费用现金报销,负责公司日常费用现金报销,5、没经总经理同意，不私自挪用或坐支现金,5、没经总经理同意，不私自挪用或坐支现金,5、没经总经理同意，不私自挪用或坐支现金,10%,绩效工资600元
出纳,,600元,负责公司日常费用现金报销,负责公司日常费用现金报销,负责公司日常费用现金报销,负责公司日常费用现金报销,负责公司日常费用现金报销,6、遵守公司各项规章制度，不迟到、早退、擅自离岗,6、遵守公司各项规章制度，不迟到、早退、擅自离岗,6、遵守公司各项规章制度，不迟到、早退、擅自离岗,5%,绩效工资600元
出纳,,600元,负责登记公司现金流水帐,负责登记公司现金流水帐,负责登记公司现金流水帐,负责登记公司现金流水帐,负责登记公司现金流水帐,1、每日及时登记现金流水帐，和库存现金核对无误,,,5%,绩效工资600元
出纳,,600元,负责登记公司现金流水帐,负责登记公司现金流水帐,负责登记公司现金流水帐,负责登记公司现金流水帐,负责登记公司现金流水帐,2、妥善保管现金流水账簿和原始凭证,2、妥善保管现金流水账簿和原始凭证,2、妥善保管现金流水账簿和原始凭证,5%,绩效工资600元
出纳,,600元,负责增值税专用发票、收据管理,负责增值税专用发票、收据管理,负责增值税专用发票、收据管理,负责增值税专用发票、收据管理,负责增值税专用发票、收据管理,"1、安全保管增值税专用发票、税控IC卡,正确开具增值税专用发票","1、安全保管增值税专用发票、税控IC卡,正确开具增值税专用发票","1、安全保管增值税专用发票、税控IC卡,正确开具增值税专用发票",10%,绩效工资600元
出纳,,600元,负责增值税专用发票、收据管理,负责增值税专用发票、收据管理,负责增值税专用发票、收据管理,负责增值税专用发票、收据管理,负责增值税专用发票、收据管理,2、负责收据的领用登记,2、负责收据的领用登记,2、负责收据的领用登记,5%,绩效工资600元
出纳,,600元,负责填制现金、银行凭证,负责填制现金、银行凭证,负责填制现金、银行凭证,负责填制现金、银行凭证,负责填制现金、银行凭证,1、填制凭证及时、准确、不压单,1、填制凭证及时、准确、不压单,1、填制凭证及时、准确、不压单,10%,绩效工资600元
出纳,,600元,负责填制现金、银行凭证,负责填制现金、银行凭证,负责填制现金、银行凭证,负责填制现金、银行凭证,负责填制现金、银行凭证,2、流水帐和财务帐及时核对无差错,2、流水帐和财务帐及时核对无差错,2、流水帐和财务帐及时核对无差错,5%,绩效工资600元
出纳,,600元,负责填制现金、银行凭证,负责填制现金、银行凭证,负责填制现金、银行凭证,负责填制现金、银行凭证,负责填制现金、银行凭证,3、月底及时将各类凭证装订成册,3、月底及时将各类凭证装订成册,3、月底及时将各类凭证装订成册,5%,绩效工资600元
出纳,,600元,负责报送定金报表、各项应收款、预收款明细表,负责报送定金报表、各项应收款、预收款明细表,负责报送定金报表、各项应收款、预收款明细表,负责报送定金报表、各项应收款、预收款明细表,负责报送定金报表、各项应收款、预收款明细表,1、每月底及时报送留存定单报表,1、每月底及时报送留存定单报表,1、每月底及时报送留存定单报表,2%,绩效工资600元
出纳,,600元,负责报送定金报表、各项应收款、预收款明细表,负责报送定金报表、各项应收款、预收款明细表,负责报送定金报表、各项应收款、预收款明细表,负责报送定金报表、各项应收款、预收款明细表,负责报送定金报表、各项应收款、预收款明细表,2、月初整理各项应收款、预收款明细,2、月初整理各项应收款、预收款明细,2、月初整理各项应收款、预收款明细,3%,绩效工资600元
前台收银员,,600元,负责售后维修结算,负责售后维修结算,负责售后维修结算,负责售后维修结算,负责售后维修结算,1、必须按照维修结算流程结算,1、必须按照维修结算流程结算,1、必须按照维修结算流程结算,10%,绩效工资500元
